Emilio;Fernandez;02-Mar-2023;cliente;emilio@gmail.com;1234;false
Joselu;Fernandez;01-Mar-2023;administracion;joselu@gmail.com;1234;true
Antonio;Hernandez;25-Feb-2023;cliente;antonio_hernandez@gmail.com;1234;false
Daniel;Alonso;03-Oct-2023;cliente;daniel_alonso@gmail.com;1234;false
Luis;Gonzalez;02-Mar-2023;cliente;luis_gonzalez@gmail.com;1234;false
Ana;Sanchez;30-Oct-2023;administracion;ana_sanchez@yahoo.com;1234;false
Manuel;Sanchez;14-May-2023;administracion;manuel_sanchez@outlook.com;1234;false
Carlos;Alonso;18-Jun-2023;administracion;carlos_alonso@gmail.com;1234;false
Carlos;Sanchez;13-Nov-2023;administracion;carlos_sanchez@outlook.com;1234;false
Daniel;Perez;16-Nov-2023;administracion;daniel_perez@yahoo.com;1234;false
Ana;Rodriguez;12-Mar-2023;administracion;ana_rodriguez@outlook.com;1234;false
Carlos;Alonso;21-Jun-2023;administracion;carlos_alonso@outlook.com;1234;false
Ana;Rodriguez;16-Mar-2023;cliente;ana_rodriguez@outlook.com;1234;false
Maria;Perez;31-Oct-2023;administracion;maria_perez@hotmail.com;1234;false
Manuel;Sanchez;19-Jun-2023;cliente;manuel_sanchez@yahoo.com;1234;false
Daniel;Gonzalez;20-Feb-2023;cliente;daniel_gonzalez@yahoo.com;1234;false
Juan;Garcia;21-May-2023;administracion;juan_garcia@gmail.com;1234;false
Luis;Perez;15-Feb-2023;cliente;luis_perez@gmail.com;1234;false
Jose;Gonzalez;09-Feb-2023;cliente;jose_gonzalez@gmail.com;1234;false
Luis;Martinez;24-May-2023;cliente;luis_martinez@gmail.com;1234;false
Ana;Garcia;15-Oct-2023;cliente;ana_garcia@yahoo.com;1234;false
Juan;Gonzalez;14-May-2023;administracion;juan_gonzalez@gmail.com;1234;false
Juan;Perez;28-Feb-2023;administracion;juan_perez@hotmail.com;1234;false
Antonio;Jimenez;08-Oct-2023;administracion;antonio_jimenez@gmail.com;1234;false
Juan;Martinez;14-Jul-2023;administracion;juan_martinez@yahoo.com;1234;false
Luis;Perez;28-Oct-2023;administracion;luis_perez@outlook.com;1234;false
Manuel;Rodriguez;10-Oct-2023;administracion;manuel_rodriguez@yahoo.com;1234;false
Juan;Perez;02-Jun-2023;cliente;juan_perez@hotmail.com;1234;false
Antonio;Gonzalez;08-May-2023;administracion;antonio_gonzalez@outlook.com;1234;false
Juan;Alonso;06-May-2023;administracion;juan_alonso@yahoo.com;1234;false
